label,text
2,- Tervetuloa skotlantiin...
1,"...... No, oikein sopiva sattumaha se vaan oli, vai mitä?"
1,40.
2,Kyseessä voi olla loppuelämäsi nainen.
2,Sinne vaan ocean clubiin iskemään!
2,Itsekin pidän Keskustan kampanjointia ihan hyvänä.
1,"Kamppi, Kontula, Kluuvi"
1,huomista päivää odotellen..
0,en haluaisi että kissani vuotaa.. =)
0,Nyt olisi lääkitys paikallaan.
1,Ihmiset joutuvat joskus monenlaisien päätelmien kohteeksi.
0,"Eniten pelkään sitä, että jos mies vain koko ajan siirtää perheenperustamista vuosilla eteenpäin, kunnes emme enää saakkaan lapsia..tiedä häntä."
2,"Muutenkin suosittelen kaikille asiasta kiinnostuneille tuota Mark ""Gravy"" Robertsin mainiota paperia."
1,"Koska naiset yleensä arvostavat miehessä eniten itsevarmuutta ja ujo mies saattaa helposti antaa itsestään epävarman vaikutelman vaikka ei sitä olisikaan.
-1	-1	-1	-1	1	-1	-1	-1				2	3	3	0	1	1	1	comments2016e.vrt 3255363	Työstä kuuluu maksaa palkkaa vai meinaatko että palkkatyöläiset menisivät 9eurolla hommiin ja maksaisivat sillä laskunsa.Ei hyvää päivää mihin maamme on vajonnut ja hallitus ajaa tälläistä politiikkaa.
-1	-1	0	-1	2							3	3	3	1	0	3	1	comments2010c.vrt 2040506	Vastahan sinä myönsit, ettei tuolla ominaisuuden hyödyllisyydellä - eikä siten vahingollisuudella - ole mitään tekemistä asian kanssa!"
2,Teillähän asenne on kohdallaan!
2,"Ja kun vielä nuukan puoleinenkin on, mikäs sen lepposampaa elää hänen vierellään"
1,"Jos taas mielestäsi maailmassa on jokin pielessä ja haluat muutosta, osoita tukesi niin liity mukaan muuttamaan maailmaa."
0,Tuntuu kuin olisin pelkkä huora.
1,Miten on Turun-lentojen laits?
2,"Tottakai myös ylpeä ""tulevasta"" vaimostani."
0,"en kertonut, koska oisit vaan suuttunut."
1,"Tämähän ei maksa kaupungille mitään, mutta operaatio säilyttäisi kasarmin."
0,Missä kohtaa olen sinua nimitellyt?
2,Suuret kiitokset tämän mahtavan tapahtuman järjestäjille!
1,on vapaaehtoista käyttääkö uikkareita vai ei
